"id","Gender","Event","Location","Year","Medal","Name","Nationality","Result"
"1","M","10000M Men","Rio","2016","G","Mohamed FARAH","USA","25:05.2"
"2","M","10000M Men","Rio","2016","S","Paul Kipngetich TANUI","KEN","27:05.6"
"3","M","10000M Men","Rio","2016","B","Tamirat TOLA","ETH","27:06.3"
"4","M","10000M Men","Beijing","2008","G","Kenenisa BEKELE","ETH","27:01.2"
"5","M","10000M Men","Beijing","2008","S","Sileshi SIHINE","ETH","27:02.8"
"6","M","10000M Men","Beijing","2008","B","Micah KOGO","KEN","27:04.1"
"7","M","10000M Men","Sydney","2000","G","Haile GEBRSELASSIE","ETH","27:18.2"
"8","M","10000M Men","Sydney","2000","S","Paul TERGAT","KEN","27:18.3"
"9","M","10000M Men","Sydney","2000","B","Assefa MEZGEBU","ETH","27:19.8"
"10","M","10000M Men","Barcelona","1992","G","Khalid SKAH","MAR","27:46.7"
"11","M","10000M Men","Barcelona","1992","S","Richard CHELIMO","KEN","27:47.7"
"12","M","10000M Men","Barcelona","1992","B","Addis ABEBE","ETH","28:00.1"
"13","M","10000M Men","Los Angeles","1984","G","Alberto COVA","ITA","27:47.5"
"14","M","10000M Men","Los Angeles","1984","S","Michael MCLEOD","GBR","28:06.2"
"15","M","10000M Men","Los Angeles","1984","B","Michael MUSYOKI","KEN","28:06.5"
"16","M","10000M Men","Montreal","1976","G","Lasse VIREN","FIN","27:40.4"
"17","M","10000M Men","Montreal","1976","S","Carlos LOPES","POR","27:45.2"
"18","M","10000M Men","Montreal","1976","B","Brendan FOSTER","GBR","27:54.9"
"19","M","10000M Men","Mexico","1968","G","Naftali TEMU","KEN","29:27.4"
"20","M","10000M Men","Mexico","1968","S","Mamo WOLDE","ETH","29:28.0"
"21","M","10000M Men","Mexico","1968","B","Mohamed GAMMOUDI","TUN","29:34.2"
"22","M","10000M Men","Rome","1960","G","Pyotr BOLOTNIKOV","URS","28:32.2"
"23","M","10000M Men","Rome","1960","S","Hans GRODOTZKI","EUA","28:37.0"
"24","M","10000M Men","Rome","1960","B","David POWER","AUS","28:38.2"
"25","M","10000M Men","Helsinki","1952","G","Emil ZÃTOPEK","TCH","29:17.0"
"26","M","10000M Men","Helsinki","1952","S","Alain MIMOUN","FRA","29:32.8"
"27","M","10000M Men","Helsinki","1952","B","Aleksandr ANUFRIYEV","URS","29:48.2"
"28","M","10000M Men","Berlin","1936","G","Ilmari SALMINEN","FIN","30:15.4"
"29","M","10000M Men","Berlin","1936","S","Arvo ASKOLA","FIN","30:15.6"
"30","M","10000M Men","Berlin","1936","B","Volmari ISO-HOLLO","FIN","30:20.2"
"31","M","10000M Men","Amsterdam","1928","G","Paavo NURMI","FIN","30:18.8"
"32","M","10000M Men","Amsterdam","1928","S","Ville RITOLA","FIN","30:19.4"
"33","M","10000M Men","Amsterdam","1928","B","Edvin WIDE","SWE","31:00.8"
"34","M","10000M Men","Antwerp","1920","G","Paavo NURMI","FIN","31:45.8"
"35","M","10000M Men","Antwerp","1920","S","Joseph GUILLEMOT","FRA","31:47.2"
"36","M","10000M Men","Antwerp","1920","B","James WILSON","GBR","31:50.8"
"37","M","10000M Men","London","2012","G","Mohamed FARAH","GBR","27:30.4"
"38","M","10000M Men","London","2012","S","Galen RUPP","USA","27:30.9"
"39","M","10000M Men","London","2012","B","Tariku BEKELE","ETH","27:31.4"
"40","M","10000M Men","Athens","2004","G","Kenenisa BEKELE","ETH","27:05.1"
"41","M","10000M Men","Athens","2004","S","Sileshi SIHINE","ETH","27:09.4"
"42","M","10000M Men","Athens","2004","B","Zersenay TADESE","ERI","27:22.6"
"43","M","10000M Men","Atlanta","1996","G","Haile GEBRSELASSIE","ETH","27:07.3"
"44","M","10000M Men","Atlanta","1996","S","Paul TERGAT","KEN","27:08.2"
"45","M","10000M Men","Atlanta","1996","B","Salah HISSOU","MAR","27:24.7"
"46","M","10000M Men","Moscow","1980","G","Miruts YIFTER","ETH","27:42.7"
"47","M","10000M Men","Moscow","1980","S","Kaarlo MAANINKA","FIN","27:44.3"
"48","M","10000M Men","Moscow","1980","B","Mohammed KEDIR","ETH","27:44.7"
"49","M","10000M Men","Munich","1972","G","Lasse VIREN","FIN","27:38.4"
"50","M","10000M Men","Munich","1972","S","Emiel PUTTEMANS","BEL","27:39.6"
"51","M","10000M Men","Munich","1972","B","Miruts YIFTER","ETH","27:41.0"
"52","M","10000M Men","Tokyo","1964","G","Billy MILLS","USA","28:24.4"
"53","M","10000M Men","Tokyo","1964","S","Mohamed GAMMOUDI","TUN","28:24.8"
"54","M","10000M Men","Tokyo","1964","B","Ron CLARKE","AUS","28:25.8"
"55","M","10000M Men","Melbourne / Stockholm","1956","G","Vladimir KUTS","URS","28:45.6"
"56","M","10000M Men","Melbourne / Stockholm","1956","S","JÃ³zsef KOVÃCS","HUN","28:52.4"
"57","M","10000M Men","Melbourne / Stockholm","1956","B","Allan LAWRENCE","AUS","28:53.6"
"58","M","10000M Men","London","1948","G","Emil ZÃTOPEK","TCH","29:59.6"
"59","M","10000M Men","London","1948","S","Alain MIMOUN","FRA","30:47.4"
"60","M","10000M Men","London","1948","B","Bertil ALBERTSSON","SWE","30:53.6"
"61","M","10000M Men","Los Angeles","1932","G","Janusz KUSOCINSKI","POL","30:11.4"
"62","M","10000M Men","Los Angeles","1932","S","Volmari ISO-HOLLO","FIN","30:12.6"
"63","M","10000M Men","Los Angeles","1932","B","Lauri VIRTANEN","FIN","30:35.0"
"64","M","10000M Men","Paris","1924","G","Ville RITOLA","FIN","30:23.2"
"65","M","10000M Men","Paris","1924","S","Edvin WIDE","SWE","30:55.2"
"66","M","10000M Men","Paris","1924","B","Eero BERG","FIN","31:43.0"
"67","M","10000M Men","Stockholm","1912","G","Hannes KOLEHMAINEN","FIN","31:20.8"
"68","M","10000M Men","Stockholm","1912","S","Lewis TEWANIMA","USA","32:06.6"
"69","M","10000M Men","Stockholm","1912","B","Albin STENROOS","FIN","32:21.8"
"70","M","100M Men","Rio","2016","G","Usain BOLT","JAM","9.81"
"71","M","100M Men","Rio","2016","S","Justin GATLIN","USA","9.89"
"72","M","100M Men","Rio","2016","B","Andre DE GRASSE","CAN","9.91"
